Date,Open,Close,High,Low,Volume
2018-11-21,156.81,157.37,157.40,154.60,600
2018-11-22,154.80,153.79,157.63,151.20,486
2018-11-23,155.00,155.12,155.20,153.60,253
2018-11-26,150.00,153.45,157.81,150.00,945
2018-11-27,152.20,155.07,156.67,151.40,195
2018-11-28,156.40,155.69,157.20,153.53,597
2018-11-29,160.60,156.88,162.38,156.60,464
2018-11-30,158.20,159.40,163.22,156.40,310
2018-12-03,164.40,161.12,166.07,159.00,1182
2018-12-04,160.60,159.33,160.80,158.40,721
2018-12-05,155.80,156.60,157.20,154.80,344
2018-12-06,156.60,150.37,156.66,149.40,408
2018-12-07,151.60,150.06,155.41,149.60,367
2018-12-10,146.80,145.17,150.60,136.99,670
2018-12-11,148.82,151.86,152.31,148.60,830
2018-12-12,150.13,151.44,151.90,149.60,269
2018-12-13,150.42,152.02,153.01,149.00,273
2018-12-14,152.02,148.29,152.40,147.00,463
2018-12-17,147.40,146.89,150.81,146.00,529
2018-12-18,145.80,146.03,146.60,142.23,318
2018-12-19,146.40,145.67,146.80,142.80,501
2018-12-20,144.40,141.28,144.87,139.60,333
2018-12-21,141.47,137.14,143.20,136.00,436
2018-12-27,137.80,133.33,138.08,132.60,687
2018-12-28,134.40,136.23,137.80,134.03,169
2019-01-02,136.00,137.49,137.80,134.40,282
2019-01-03,132.02,128.01,132.20,124.80,2460
2019-01-04,126.75,129.31,129.80,125.80,4251
2019-01-07,130.00,129.20,135.00,128.00,2990
2019-01-08,130.00,130.64,132.40,128.40,1847
2019-01-09,133.60,133.32,134.20,131.00,1546
2019-01-10,133.00,131.44,134.66,130.80,521
2019-01-11,133.11,132.93,134.40,132.40,770
2019-01-14,132.40,131.21,134.00,130.00,397
2019-01-15,132.20,132.89,133.20,131.40,381
2019-01-16,134.40,136.49,137.80,133.60,693
2019-01-17,135.80,135.36,136.00,135.00,399
2019-01-18,137.80,137.09,139.80,136.00,412
2019-01-21,137.60,138.24,139.60,136.80,340
2019-01-22,137.60,136.96,138.00,136.40,289
2019-01-23,135.60,134.21,136.20,133.60,527
2019-01-24,135.21,134.00,137.68,134.00,337
2019-01-25,135.60,137.39,138.00,135.06,314
2019-01-28,137.20,136.15,138.20,135.00,705
2019-01-29,136.40,136.25,138.40,136.20,1048
2019-01-30,142.40,142.97,143.60,140.80,1970
2019-01-31,146.15,147.48,149.60,144.07,1662
2019-02-01,146.40,146.51,146.60,144.40,683
2019-02-04,146.20,150.13,153.40,145.00,704
2019-02-05,149.88,153.88,154.60,149.40,1373
2019-02-06,152.55,153.55,154.55,149.55,1234
2019-02-07,153.09,152.37,157.20,152.00,1935
2019-02-08,149.80,149.37,150.00,148.00,857
2019-02-11,150.34,151.17,151.60,150.20,300
2019-02-12,152.00,150.35,152.77,150.00,223
2019-02-13,151.11,152.60,153.60,151.00,277
2019-02-14,151.11,150.11,152.11,148.11,507
2019-02-15,149.88,150.69,151.60,149.60,490
2019-02-18,151.00,150.99,151.40,149.60,338
2019-02-19,150.40,150.13,150.40,150.00,139
2019-02-20,150.80,151.79,152.60,150.00,585
2019-02-21,152.00,150.49,152.39,148.40,259
2019-02-22,150.38,151.69,152.60,150.00,249
2019-02-25,153.60,154.49,155.00,151.60,1090
2019-02-26,153.22,152.22,154.22,151.22,505
