# Endeks Bileşenleri (Hisse Senedi - Endeks İlişkisi):
# 
# Bu dosya her hisse senedinin hangi endekslerde yer aldığını gösterir.
# 
# === TEMEL ENDEKSLER ===
# XU030: BIST 30 - En likit 30 hisse
# XU050: BIST 50 - En likit 50 hisse
# XU100: BIST 100 - En likit 100 hisse
# XU500: BIST 500 - Geniş pazar endeksi
# XUTUM: BIST TÜM - Tüm hisseler
# 
# === ÖZEL ENDEKSLER ===
# XYLDZ: BIST YILDIZ - Yıldız şirketler
# XHARZ: BIST HALKA ARZ - Halka arz edilen şirketler
# XSD25: BIST SÜRDÜRÜLEBİLİRLİK 25
# XSRDK: BIST KATILIM SÜRDÜRÜLEBİLİRLİK
# 
# === SEKTÖREL ENDEKSLER ===
# XBANK: BIST BANKA
# XBLSM: BIST BİLİŞİM
# XELKT: BIST ELEKTRİK
# XGIDA: BIST GIDA İÇECEK
# XGMYO: BIST GAYRİMENKUL Y.O.
# XHOLD: BIST HOLDİNG VE YATIRIM
# XTEKS: BIST TEKSTİL DERİ
# XTAST: BIST TAŞ TOPRAK
#
stock_symbol,indices
AYCES,"XU500,XUTUM,XTUMY,XBANA,XUHIZ,XTRZM,XSIZM"
AYDEM,"XU500,XUTUM,XTUMY,XYLDZ,XKURY,XUSRD,XUHIZ,XELKT,XSDNZ"
AYEN,"XU500,XUTUM,XTUMY,XBANA,XTMTU,XKTUM,XKTMT,XUHIZ,XELKT,XSKAY"
AYGAZ,"XU500,XUTUM,XTUMY,XYLDZ,XTMTU,XKURY,XUSRD,XUSIN,XSINS,XKMYA,XSIST"
AZTEK,"XU500,XUTUM,XTUMY,XBANA,XTMTU,XUTEK,XTKJS,XBLSM,XSIST"
BAGFS,"XU500,XUTUM,XTUMY,XBANA,XUSIN,XSINS,XKMYA,XSBAL"
BAHKM,"XU500,XUTUM,XTUMY,XBANA,XHARZ,XKTUM,XUSIN,XSINS,XKMYA"
BAKAB,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XUSIN,XSINS,XKAGT,XSIZM"
BALSU,"XU100,XU500,XUTUM,XYUZO,X100S,X100C,XYLDZ,XHARZ,XUGRA,XUSIN,XSINS,XGIDA"
BANVT,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XK100,XUSIN,XSINS,XGIDA,XSBAL"
BARMA,"XU500,XUTUM,XTUMY,XBANA,XUSIN,XSINS,XKAGT,XSIZM"
BASGZ,"XU500,XUTUM,XTUMY,XYLDZ,XTMTU,XKTUM,XKTMT,XUMAL,XGMYO,XGYOS"
BAYRK,"XU500,XUTUM,XTUMY,XBANA,XKOBI,XUSIN,XSINS,XKMYA"
BEGYO,"XU500,XUTUM,XTUMY,XBANA,XHARZ,XKTUM,XK100,XUMAL,XGMYO,XGYOS"
BERA,"XU100,XU500,XUTUM,XYUZO,X100S,X100C,XK030EA,XYLDZ,XKTUM,XK100,XK050,XK030,XUMAL,XHOLD,XSKON"
BESLR,"XU500,XUTUM,XTUMY,XYLDZ,XUSRD,XUSIN,XSINS,XGIDA,XSBUR"
BEYAZ,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XUHIZ,XULAS,XSBAL"
BFREN,"XU500,XUTUM,XTUMY,XYLDZ,XUSIN,XSINS,XMESY,XSBUR"
BIENY,"XU500,XUTUM,XTUMY,XYLDZ,XKTUM,XUSIN,XSINS,XTAST"
BIGCH,"XU500,XUTUM,XTUMY,XBANA,XUHIZ,XTRZM,XSIST"
BIGEN,"XU500,XUTUM,XTUMY,XYLDZ,XHARZ,XUHIZ,XELKT,XSIST"
BIMAS,"XU100,XU050,XU030,X10XB,XU500,XUTUM,X100S,X100C,X030S,X030C,X030EA,XK030EA,XYLDZ,XTMTU,XTM25,XKTUM,XK100,XK050,XK030,XKTMT,XTM25S,XUHIZ,XTCRT"
BINBN,"XU500,XUTUM,XTUMY,XYLDZ,XHARZ,XKTUM,XK100,XUTEK,XTKJS,XBLSM,XSIST"
BINHO,"XU100,XU500,XUTUM,XYUZO,X100S,X100C,XYLDZ,XHARZ,XKTUM,XK100,XUMAL,XHOLD,XSIST"
BIOEN,"XU500,XUTUM,XTUMY,XYLDZ,XKURY,XUSRD,XUHIZ,XELKT,XSIZM"
BIZIM,"XU500,XUTUM,XTUMY,XBANA,XUSRD,XUHIZ,XTCRT"
BJKAS,"XU500,XUTUM,XTUMY,XYLDZ,XUHIZ,XSPOR,XSIST"
BLCYT,"XU500,XUTUM,XTUMY,XBANA,XUSIN,XSINS,XTEKS,XSADA"
BMSCH,"XU500,XUTUM,XTUMY,XBANA,XUSIN,XSINS,XMANA,XSMNS"
BMSTL,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XK100,XUSIN,XSINS,XMANA,XSKOC"
BNTAS,"XU500,XUTUM,XTUMY,XBANA,XUSIN,XSINS,XMESY,XSBAL"
BOBET,"XU500,XUTUM,XTUMY,XYLDZ,XTMTU,XUGRA,XUSIN,XSINS,XTAST,XSIST"
BORLS,"XU500,XUTUM,XTUMY,XYLDZ,XHARZ,XKTUM,XK100,XUGRA,XUHIZ,XSIST"
BORSK,"XU500,XUTUM,XTUMY,XBANA,XHARZ,XTMTU,XKTUM,XKTMT,XUSIN,XSINS,XGIDA"
BOSSA,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XUGRA,XUSIN,XSINS,XTEKS,XSADA"
BRISA,"XU500,XUTUM,XTUMY,XYLDZ,XTMTU,XUSRD,XUSIN,XSINS,XKMYA,XSKOC"
BRKSN,"XUTUM,XTUMY,XKTUM,XUSIN,XSINS,XKMYA,XSTKR"
BRKVY,"XU500,XUTUM,XTUMY,XBANA,XTMTU,XUMAL"
BRLSM,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XUHIZ,XINSA,XSIST"
