# Endeks Bileşenleri (Hisse Senedi - Endeks İlişkisi):
# 
# Bu dosya her hisse senedinin hangi endekslerde yer aldığını gösterir.
# 
# === TEMEL ENDEKSLER ===
# XU030: BIST 30 - En likit 30 hisse
# XU050: BIST 50 - En likit 50 hisse
# XU100: BIST 100 - En likit 100 hisse
# XU500: BIST 500 - Geniş pazar endeksi
# XUTUM: BIST TÜM - Tüm hisseler
# 
# === ÖZEL ENDEKSLER ===
# XYLDZ: BIST YILDIZ - Yıldız şirketler
# XHARZ: BIST HALKA ARZ - Halka arz edilen şirketler
# XSD25: BIST SÜRDÜRÜLEBİLİRLİK 25
# XSRDK: BIST KATILIM SÜRDÜRÜLEBİLİRLİK
# 
# === SEKTÖREL ENDEKSLER ===
# XBANK: BIST BANKA
# XBLSM: BIST BİLİŞİM
# XELKT: BIST ELEKTRİK
# XGIDA: BIST GIDA İÇECEK
# XGMYO: BIST GAYRİMENKUL Y.O.
# XHOLD: BIST HOLDİNG VE YATIRIM
# XTEKS: BIST TEKSTİL DERİ
# XTAST: BIST TAŞ TOPRAK
#
stock_symbol,indices
OZATD,"XU500,XUTUM,XTUMY,XYLDZ,XHARZ,XUSIN,XSINS,XMESY"
OZGYO,"XU500,XUTUM,XTUMY,XBANA,XUMAL,XGMYO,XGYOS"
OZKGY,"XU500,XUTUM,XTUMY,XYLDZ,XUMAL,XGMYO,XGYOS"
OZRDN,"XUTUM,XTUMY,XKOBI,XKTUM,XUSIN,XSINS,XKMYA,XSKOC"
OZSUB,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XUSIN,XSINS,XSIZM"
OZYSR,"XU500,XUTUM,XTUMY,XBANA,XHARZ,XKTUM,XUSIN,XSINS,XMANA,XSIST"
PAGYO,"XU500,XUTUM,XTUMY,XBANA,XTMTU,XUMAL,XGMYO,XGYOS"
PAMEL,"XU500,XUTUM,XTUMY,XBANA,XUHIZ,XELKT"
PAPIL,"XU500,XUTUM,XTUMY,XYLDZ,XUTEK,XTKJS,XBLSM,XSANK"
PARSN,"XU500,XUTUM,XTUMY,XYLDZ,XKTUM,XUSIN,XSINS,XMESY,XSIST"
PASEU,"XU100,XU500,XUTUM,XYUZO,X100S,X100C,XK030EA,XYLDZ,XKTUM,XK100,XK050,XK030,XUHIZ,XULAS,XSANK"
PATEK,"XU500,XUTUM,XTUMY,XYLDZ,XHARZ,XUTEK,XTKJS,XBLSM,XSIST"
PCILT,"XU500,XUTUM,XTUMY,XBANA,XTMTU,XUGRA,XUHIZ,XSIST"
PEKGY,"XU500,XUTUM,XTUMY,XBANA,XUMAL,XGMYO,XGYOS"
PENGD,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XUSIN,XSINS,XGIDA,XSBUR"
PENTA,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XUTEK,XTKJS,XBLSM,XSIST"
PETKM,"XU100,XU050,XU030,XU500,XUTUM,X100S,X100C,X030S,X030C,X030EA,XK030EA,XYLDZ,XKTUM,XK100,XK050,XK030,XSRDK,XUSRD,XSD25,XUSIN,XSINS,XKMYA,XSIZM"
PETUN,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XKURY,XUSIN,XSINS,XGIDA,XSIZM"
PGSUS,"XU100,XU050,XU030,XU500,XUTUM,X100S,X100C,X030S,X030C,X030EA,XYLDZ,XKURY,XUSRD,XSD25,XUHIZ,XULAS,XSIST"
PINSU,"XU500,XUTUM,XTUMY,XBANA,XKURY,XUSIN,XSINS,XGIDA,XSIZM"
PKART,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XUTEK,XTKJS,XBLSM,XSIST"
PKENT,"XU500,XUTUM,XTUMY,XBANA,XUHIZ,XTRZM,XSANT"
PLTUR,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XUHIZ,XSIST"
PNLSN,"XU500,XUTUM,XTUMY,XBANA,XTMTU,XUGRA,XUSIN,XSINS,XMANA,XSANK"
PNSUT,"XU500,XUTUM,XTUMY,XBANA,XKURY,XUSIN,XSINS,XGIDA,XSIZM"
POLHO,"XU500,XUTUM,XTUMY,XYLDZ,XKTUM,XKURY,XUMAL,XHOLD,XSKOC"
POLTK,"XU500,XUTUM,XTUMY,XYLDZ,XKOBI,XUSIN,XSINS,XKMYA,XSIST"
PRDGS,"XU500,XUTUM,XTUMY,XBANA,XUMAL,XHOLD"
PRKAB,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XKURY,XUSIN,XSINS,XMESY,XSBUR"
PRKME,"XU500,XUTUM,XTUMY,XBANA,XKURY,XUGRA,XUSIN,XSINS,XMADN"
PRZMA,"XUTUM,XTUMY,XKOBI,XUSIN,XSINS,XKAGT,XSIST"
PSDTC,"XUTUM,XTUMY,XUHIZ,XTCRT,XSIZM"
PSGYO,"XU500,XUTUM,XTUMY,XYLDZ,XTMTU,XUMAL,XGMYO,XGYOS"
QUAGR,"XU500,XUTUM,XTUMY,XYLDZ,XKTUM,XK100,XSRDK,XKURY,XUSRD,XUSIN,XSINS,XTAST,XSAYD"
RALYH,"XU100,XU500,XUTUM,XYUZO,X100S,X100C,XYLDZ,XKTUM,XK100,XK050,XUGRA,XUMAL,XHOLD,XSANK"
RAYSG,"XU500,XUTUM,XTUMY,XYLDZ,XUMAL,XSGRT"
REEDR,"XU100,XU500,XUTUM,XYUZO,X100S,X100C,XYLDZ,XHARZ,XUTEK,XTKJS,XBLSM"
RGYAS,"XU500,XUTUM,XTUMY,XYLDZ,XHARZ,XKURY,XUHIZ,XSANK"
RNPOL,"XUTUM,XTUMY,XUSIN,XSINS,XKMYA,XSKAY"
RODRG,"XUTUM,XTUMY,XKOBI,XKTUM,XUSIN,XSINS,XTEKS,XSIST"
RTALB,"XU500,XUTUM,XTUMY,XBANA,XKOBI,XUSIN,XSINS,XKMYA,XSKOC"
RUBNS,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XUSIN,XSINS,XTEKS"
RUZYE,"XU500,XUTUM,XTUMY,XBANA,XKOBI,XUSIN,XSINS,XMADN,XSTKR"
RYGYO,"XU500,XUTUM,XTUMY,XYLDZ,XUMAL,XGMYO,XGYOS"
RYSAS,"XU500,XUTUM,XTUMY,XYLDZ,XUHIZ,XULAS,XSIST"
SAFKR,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XUSIN,XSINS,XMESY,XSIZM"
SAHOL,"XU100,XU050,XU030,X10XB,XU500,XUTUM,X100S,X100C,X030S,X030C,X030EA,XYLDZ,XUSRD,XSD25,XUMAL,XHOLD,XSIST"
SAMAT,"XU500,XUTUM,XTUMY,XBANA,XKOBI,XKTUM,XUSIN,XSINS,XKAGT,XSANK"
SANEL,"XUTUM,XTUMY,XUHIZ,XINSA,XSIST"
SANFM,"XU500,XUTUM,XTUMY,XBANA,XTMTU,XUSIN,XSINS,XKMYA,XSTKR"
SANKO,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XUHIZ,XTCRT"
SARKY,"XU500,XUTUM,XTUMY,XYLDZ,XTMTU,XUGRA,XUSIN,XSINS,XMANA,XSKOC"
SASA,"XU100,XU050,XU030,X10XB,XU500,XUTUM,X100S,X100C,X030S,X030C,X030EA,XYLDZ,XUSRD,XUGRA,XUSIN,XSINS,XKMYA,XSADA"
SAYAS,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XK100,XUSIN,XSINS,XMESY,XSIZM"
SDTTR,"XU500,XUTUM,XTUMY,XYLDZ,XTMTU,XUTEK,XTKJS,XSANK"
SEGMN,"XU500,XUTUM,XTUMY,XBANA,XHARZ,XUSIN,XSINS,XGIDA,XSANK"
SEGYO,"XU500,XUTUM,XTUMY,XBANA,XUMAL,XGMYO,XGYOS"
SEKFK,"XUTUM,XTUMY,XKURY,XUMAL,XFINK"
SEKUR,"XUTUM,XTUMY,XKTUM,XUSIN,XSINS,XKMYA"
SELEC,"XU500,XUTUM,XTUMY,XYLDZ,XTMTU,XKTUM,XK100,XK050,XKTMT,XUHIZ,XTCRT,XSIST"
SELGD,"XUTUM,XTUMY,XUMAL,XHOLD,XSIST"
SELVA,"XUTUM,XTUMY,XKTUM,XKURY,XUSIN,XSINS,XGIDA,XSKON"
SERNT,"XU500,XUTUM,XTUMY,XBANA,XHARZ,XUSIN,XSINS,XTAST"
SEYKM,"XUTUM,XTUMY,XKOBI,XUSIN,XSINS,XKMYA,XSMNS"
SILVR,"XUTUM,XTUMY,XKTUM,XUSIN,XSINS,XMESY"
SISE,"XU100,XU050,XU030,XU500,XUTUM,X100S,X100C,X030S,X030C,X030EA,XYLDZ,XTMTU,XTM25,XKURY,XUSRD,XSD25,XTM25S,XUMAL,XHOLD,XSIST"
SKBNK,"XU100,XU500,XUTUM,XYUZO,X100S,X100C,XYLDZ,XKURY,XUSRD,XUMAL,XBANK"
SKTAS,"XU500,XUTUM,XTUMY,XBANA,XUSIN,XSINS,XTEKS,XSAYD"
SKYLP,"XU500,XUTUM,XTUMY,XBANA,XUHIZ,XSIST"
SKYMD,"XU500,XUTUM,XTUMY,XBANA,XHARZ,XUMAL,XAKUR"
SMART,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XUTEK,XTKJS,XBLSM,XSIST"
SMRTG,"XU100,XU500,XUTUM,XYUZO,X100S,X100C,XK030EA,XYLDZ,XKTUM,XK100,XK050,XK030,XSRDK,XUSRD,XUHIZ,XELKT,XSKOC"
SMRVA,"XU500,XUTUM,XTUMY,XBANA,XHARZ,XTMTU,XUMAL"
SNGYO,"XU500,XUTUM,XTUMY,XYLDZ,XKTUM,XK100,XUMAL,XGMYO,XGYOS"
SNICA,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XK100,XUSIN,XSINS,XMESY,XSMNS"
SOKE,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XUSIN,XSINS,XGIDA,XSAYD"
SOKM,"XU100,XU050,XU500,XUTUM,XELOT,XELOS,XELOC,XYUZO,X100S,X100C,XYLDZ,XUSRD,XUHIZ,XTCRT"
SONME,"XUTUM,XTUMY,XUHIZ,XSBUR"
SRVGY,"XU500,XUTUM,XTUMY,XYLDZ,XKTUM,XK100,XUMAL,XGMYO,XGYOS"
SUNTK,"XU500,XUTUM,XTUMY,XYLDZ,XTMTU,XKTUM,XK100,XSRDK,XKTMT,XKURY,XUSRD,XUSIN,XSINS,XTEKS,XSIZM"
SURGY,"XU500,XUTUM,XTUMY,XYLDZ,XHARZ,XUMAL,XGMYO,XGYOS"
SUWEN,"XU500,XUTUM,XTUMY,XYLDZ,XTMTU,XKTUM,XKTMT,XUGRA,XUHIZ,XTCRT"
TABGD,"XU100,XU500,XUTUM,XYUZO,X100S,X100C,XYLDZ,XHARZ,XUHIZ,XTRZM,XSIST"
TARKM,"XU500,XUTUM,XTUMY,XBANA,XHARZ,XUSIN,XSINS,XKMYA,XSMNS"
TATEN,"XU500,XUTUM,XTUMY,XYLDZ,XUHIZ,XELKT,XSBAL"
TATGD,"XU500,XUTUM,XTUMY,XBANA,XKURY,XUSRD,XUSIN,XSINS,XGIDA,XSBUR"
TAVHL,"XU100,XU050,XU030,XU500,XUTUM,X100S,X100C,X030S,X030C,X030EA,XYLDZ,XKURY,XUSRD,XSD25,XUMAL,XHOLD,XSIST"
TBORG,"XU500,XUTUM,XTUMY,XBANA,XUSIN,XSINS,XGIDA,XSIZM"
TCELL,"XU100,XU050,XU030,X10XB,XU500,XUTUM,X100S,X100C,X030S,X030C,X030EA,XYLDZ,XTMTU,XTM25,XUSRD,XSD25,XTM25S,XUGRA,XUHIZ,XILTM,XSIST"
TCKRC,"XU500,XUTUM,XTUMY,XBANA,XHARZ,XUGRA,XUSIN,XSINS,XMANA,XSBUR"
TDGYO,"XUTUM,XTUMY,XKTUM,XUMAL,XGMYO,XGYOS"
TEHOL,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XK100,XK050,XUMAL,XHOLD,XSIST"
TEKTU,"XU500,XUTUM,XTUMY,XBANA,XUHIZ,XTRZM,XSANT"
TERA,"XU500,XUTUM,XTUMY,XBANA,XUMAL,XAKUR"
TEZOL,"XU500,XUTUM,XTUMY,XYLDZ,XKTUM,XK100,XUGRA,XUSIN,XSINS,XKAGT,XSIZM"
TGSAS,"XUTUM,XTUMY,XTMTU,XUHIZ,XTCRT,XSIST"
THYAO,"XU100,XU050,XU030,X10XB,XU500,XUTUM,X100S,X100C,X030S,X030C,X030EA,XYLDZ,XUSRD,XSD25,XUGRA,XUHIZ,XULAS,XSIST"
TKFEN,"XU100,XU050,XU500,XUTUM,XELOT,XELOS,XELOC,XYUZO,X100S,X100C,XK030EA,XYLDZ,XKTUM,XK100,XK050,XK030,XSRDK,XUSRD,XUMAL,XHOLD,XSIST"
TKNSA,"XU500,XUTUM,XTUMY,XBANA,XUSRD,XUHIZ,XTCRT"
TLMAN,"XU500,XUTUM,XTUMY,XBANA,XUHIZ,XULAS"
TMPOL,"XU500,XUTUM,XTUMY,XBANA,XUSIN,XSINS,XKMYA,XSKAY"
TMSN,"XU500,XUTUM,XTUMY,XYLDZ,XKTUM,XK100,XK050,XUSIN,XSINS,XMESY,XSKON"
TNZTP,"XU500,XUTUM,XTUMY,XYLDZ,XKTUM,XUGRA,XUHIZ,XSIZM"
TOASO,"XU100,XU050,XU030,XU500,XUTUM,X100S,X100C,X030S,X030C,X030EA,XYLDZ,XTMTU,XTM25,XKURY,XUSRD,XTM25S,XUSIN,XSINS,XMESY,XSBUR"
TRCAS,"XU500,XUTUM,XTUMY,XYLDZ,XKURY,XUMAL,XHOLD,XSIST"
TRGYO,"XU500,XUTUM,XTUMY,XYLDZ,XTMTU,XUMAL,XGMYO,XGYOS"
TRHOL,"XU500,XUTUM,XTUMY,XKTUM,XUGRA,XUMAL,XHOLD,XSIST"
TRILC,"XU500,XUTUM,XTUMY,XBANA,XUSIN,XSINS,XKMYA,XSANK"
TSGYO,"XU500,XUTUM,XTUMY,XBANA,XUMAL,XGMYO,XGYOS"
TSKB,"XU100,XU050,XU500,XUTUM,XELOT,XELOS,XELOC,XYUZO,X100S,X100C,XYLDZ,XKURY,XUSRD,XSD25,XUMAL,XBANK"
TSPOR,"XU500,XUTUM,XTUMY,XYLDZ,XUHIZ,XSPOR"
TTKOM,"XU100,XU050,XU030,XU500,XUTUM,X100S,X100C,X030S,X030C,X030EA,XYLDZ,XKURY,XUSRD,XUHIZ,XILTM,XSANK"
TTRAK,"XU100,XU500,XUTUM,XYUZO,X100S,X100C,XYLDZ,XTMTU,XTM25,XKURY,XUSRD,XTM25S,XUSIN,XSINS,XMESY,XSANK"
TUCLK,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XUSIN,XSINS,XMANA,XSIST"
TUKAS,"XU500,XUTUM,XTUMY,XYLDZ,XKTUM,XK100,XUGRA,XUSIN,XSINS,XGIDA,XSIZM"
TUPRS,"XU100,XU050,XU030,X10XB,XU500,XUTUM,X100S,X100C,X030S,X030C,X030EA,XK030EA,XYLDZ,XTMTU,XTM25,XKTUM,XK100,XK050,XK030,XSRDK,XKTMT,XKURY,XUSRD,XSD25,XTM25S,XUSIN,XSINS,XKMYA,XSKOC"
TUREX,"XU100,XU500,XUTUM,XYUZO,X100S,X100C,XYLDZ,XKTUM,XK100,XK050,XUHIZ,XULAS,XSIST"
TURGG,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XUHIZ,XINSA,XSIST"
TURSG,"XU100,XU500,XUTUM,XYUZO,X100S,X100C,XYLDZ,XTMTU,XTM25,XKURY,XUSRD,XTM25S,XUMAL,XSGRT"
UFUK,"XU500,XUTUM,XTUMY,XBANA,XUMAL,XHOLD,XSIST"
ULAS,"XUTUM,XTUMY,XUHIZ,XTRZM,XSANK"
ULKER,"XU100,XU050,XU030,XU500,XUTUM,X100S,X100C,X030S,X030C,X030EA,XYLDZ,XUSRD,XSD25,XUSIN,XSINS,XGIDA,XSANK"
ULUFA,"XU500,XUTUM,XTUMY,XBANA,XTMTU,XUGRA,XUMAL,XFINK"
ULUSE,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XUSIN,XSINS,XMESY,XSANK"
ULUUN,"XU500,XUTUM,XTUMY,XBANA,XUSIN,XSINS,XGIDA"
UNLU,"XU500,XUTUM,XTUMY,XBANA,XUMAL,XHOLD,XSIST"
USAK,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XK100,XUSIN,XSINS,XTAST"
VAKBN,"XU100,XU050,XLBNK,XU500,XUTUM,XELOT,XELOS,XELOC,XYUZO,X100S,X100C,XYLDZ,XKURY,XUSRD,XUGRA,XUMAL,XBANK"
VAKFN,"XU500,XUTUM,XTUMY,XYLDZ,XUMAL,XFINK"
VAKKO,"XU500,XUTUM,XTUMY,XYLDZ,XTMTU,XKTUM,XK100,XKTMT,XUHIZ,XTCRT"
VANGD,"XUTUM,XTUMY,XKOBI,XKTUM,XUSIN,XSINS,XGIDA"
VBTYZ,"XU500,XUTUM,XTUMY,XBANA,XUTEK,XTKJS,XBLSM,XSIST"
VERTU,"XU500,XUTUM,XTUMY,XBANA,XUGRA,XUMAL,XHOLD"
VERUS,"XU500,XUTUM,XTUMY,XYLDZ,XTMTU,XUGRA,XUMAL,XHOLD,XSIST"
VESBE,"XU500,XUTUM,XTUMY,XYLDZ,XTMTU,XKTUM,XK100,XSRDK,XKTMT,XUSRD,XUSIN,XSINS,XMESY,XSMNS"
VESTL,"XU100,XU050,XU500,XUTUM,XELOT,XELOS,XELOC,XYUZO,X100S,X100C,XK030EA,XYLDZ,XKTUM,XK100,XK050,XK030,XSRDK,XKURY,XUSRD,XUSIN,XSINS,XMESY,XSMNS"
VKFYO,XYORT
VKGYO,"XU500,XUTUM,XTUMY,XBANA,XKURY,XUSRD,XUMAL,XGMYO,XGYOS"
VKING,"XU500,XUTUM,XTUMY,XBANA,XUSIN,XSINS,XKAGT,XSIZM"
VRGYO,"XU500,XUTUM,XTUMY,XBANA,XHARZ,XUMAL,XGMYO,XGYOS"
VSNMD,"XU500,XUTUM,XTUMY,XBANA,XHARZ,XKTUM,XK100,XUSIN,XSINS,XMADN,XSADA"
YAPRK,"XU500,XUTUM,XTUMY,XYLDZ,XKOBI,XTMTU,XUSIN,XSINS,XSBAL"
YATAS,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XUSIN,XSINS,XTEKS,XSKAY"
YAYLA,"XU500,XUTUM,XTUMY,XUHIZ,XINSA,XSANK"
YEOTK,"XU100,XU500,XUTUM,XYUZO,X100S,X100C,XK030EA,XYLDZ,XKTUM,XK100,XK050,XK030,XUHIZ,XSIST"
YESIL,"XU500,XUTUM,XTUMY,XBANA,XUMAL,XHOLD,XSIST"
YGGYO,"XU500,XUTUM,XTUMY,XBANA,XUGRA,XUMAL,XGMYO,XGYOS"
YIGIT,"XU500,XUTUM,XTUMY,XBANA,XHARZ,XUSIN,XSINS,XMESY,XSANK"
YKBNK,"XU100,XU050,XU030,XLBNK,XU500,XUTUM,X100S,X100C,X030S,X030C,X030EA,XYLDZ,XKURY,XUSRD,XUMAL,XBANK"
YKSLN,"XU500,XUTUM,XTUMY,XBANA,XUSIN,XSINS,XMANA,XSIST"
YUNSA,"XU500,XUTUM,XTUMY,XBANA,XTMTU,XKTUM,XSRDK,XKTMT,XKURY,XUSRD,XUSIN,XSINS,XTEKS,XSTKR"
YYAPI,"XU500,XUTUM,XTUMY,XBANA,XUHIZ,XINSA,XSIST"
YYLGD,"XU500,XUTUM,XTUMY,XYLDZ,XKURY,XUGRA,XUSIN,XSINS,XGIDA"
ZEDUR,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XUHIZ,XELKT,XSANK"
ZOREN,"XU100,XU500,XUTUM,XYUZO,X100S,X100C,XYLDZ,XUSRD,XUHIZ,XELKT,XSBUR"
ZRGYO,"XU500,XUTUM,XTUMY,XYLDZ,XTMTU,XUMAL,XGMYO,XGYOS"
